Top,Time,ProcessId,Name,Cpu(%),Memory(KB),HandleCount
1,2014-4-1 9:14:57,1932,explorer,2.734375,33720,625
2,2014-4-1 9:14:57,4132,devenv,0.390625,234512,1096
3,2014-4-1 9:14:57,4,System,0.390625,52,1175
4,2014-4-1 9:14:57,236,igfxtray,0,3904,86
5,2014-4-1 9:14:57,1840,conime,0,3828,58
1,2014-4-1 9:14:59,1384,avguard,1.171875,176484,207
2,2014-4-1 9:14:59,4,System,0.390625,52,1175
3,2014-4-1 9:14:59,1932,explorer,0.390625,34220,628
4,2014-4-1 9:14:59,236,igfxtray,0,3904,86
5,2014-4-1 9:14:59,1840,conime,0,3832,58
1,2014-4-1 9:15:01,5884,chrome,10.15625,16300,139
2,2014-4-1 9:15:01,1384,avguard,5.859375,176616,209
3,2014-4-1 9:15:01,808,lsass,4.6875,7904,413
4,2014-4-1 9:15:01,4,System,3.515625,52,1176
5,2014-4-1 9:15:01,724,csrss,1.171875,2260,751
1,2014-4-1 9:15:03,5884,chrome,8.203125,45568,608
2,2014-4-1 9:15:03,1384,avguard,7.421875,176556,210
3,2014-4-1 9:15:03,6316,chrome,4.296875,17916,40
4,2014-4-1 9:15:03,4472,chrome,4.296875,17900,40
5,2014-4-1 9:15:03,4696,chrome,3.90625,17900,40
1,2014-4-1 9:15:06,5884,chrome,14.84375,60256,629
2,2014-4-1 9:15:06,6316,chrome,7.421875,72792,127
3,2014-4-1 9:15:06,4696,chrome,3.90625,75908,121
4,2014-4-1 9:15:06,5480,chrome,2.34375,73144,122
5,2014-4-1 9:15:06,4,System,1.5625,52,1186
1,2014-4-1 9:15:08,5884,chrome,11.71875,64268,710
2,2014-4-1 9:15:08,6316,chrome,5.078125,81632,125
3,2014-4-1 9:15:08,1384,avguard,1.953125,176760,207
4,2014-4-1 9:15:08,3156,WinService,1.5625,5052,79
5,2014-4-1 9:15:08,4,System,1.171875,52,1191
1,2014-4-1 9:15:10,1384,avguard,9.765625,176640,210
2,2014-4-1 9:15:10,5884,chrome,9.765625,65640,899
3,2014-4-1 9:15:10,4788,chrome,8.203125,74812,125
4,2014-4-1 9:15:10,6316,chrome,5.078125,83360,125
5,2014-4-1 9:15:10,8184,CpuTop5,0.390625,11600,93
